match_date,when,league,team1,team2,bestof,pick,our_proba,breakeven,odds,odds_source,stake,result,winner,score,profit,captured_at
2026-09-15,Tue 15/09 18:00,Arabian League,Anubis Gaming,JSK Esports,5,Anubis Gaming,0.941,1.06,,,10.0,open,,,,2026-09-14 22:04
2026-09-19,Sat 19/09 22:00,LCS,Cloud9,LYON,5,LYON,0.9151,1.09,1.37,odds-api.io,10.0,open,,,,2026-09-14 22:04
